id	name	host_id	host_name	neighbourhood_group	neighbourhood	latitude	longitude	room_type	price	minimum_nights	number_of_reviews	last_review	reviews_per_month	calculated_host_listings_count	availability_365	number_of_reviews_ltm	license
19051941	Cozy private room with breakfast included	132903896	Guillermo	Retiro	Ibiza	40.42118	-3.67611	Private room	38	3	1	2017-06-14	0.02	1	0	0	
19052185	Double Room in Chueca for Madrid World Pride	132988737	David	Centro	Justicia	40.4222	-3.69687	Private room	120	2	0			1	0	0	
18951168	Habitación individual en Alonso Martínez-Centro	12691164	Vereniz	Centro	Justicia	40.42651	-3.69846	Private room	36	3	23	2021-11-28	0.38	2	10	16	
19054737	Plaza de Castilla	133009456	Godoy	Tetuán	Castillejos	40.45765	-3.6992	Private room	60	2	0			1	0	0	
19054913	QUIET & STYLISH APARTMENT IN THE HEART OF CHUECA	71469882	Roberto	Centro	Justicia	40.42433	-3.69883	Entire home/apt	63	1	63	2022-05-25	1.09	1	63	22	
18696464	La Latina- Casa Petra, Tranquilo Acogedor Limpio	50805728	María Y Carlos	Centro	Embajadores	40.40774	-3.70527	Entire home/apt	86	3	259	2022-06-06	4.21	2	60	17	VT3651
18701568	**Studio Centre-La Latina-Sol-WiFi, A/C**	127569594	Borja	Centro	Embajadores	40.40931	-3.70726	Entire home/apt	103	1	387	2022-05-30	6.29	9	327	110	
18956161	Stylish Goya flat. Coqueto piso en Goya VT-7496	132177161	Mayling	Salamanca	Goya	40.42751	-3.67739	Entire home/apt	103	3	201	2022-05-25	3.35	2	156	43	VT-7496
18702124	***Studio Centre-La Latina-Sol-WiFi, A/C***	127569594	Borja	Centro	Embajadores	40.41087	-3.70613	Entire home/apt	92	1	429	2022-06-01	6.98	9	107	138	
19060615	DOBO HOMES RELATORES 3 ROOMS	133056146	Dobo Rooms	Centro	Embajadores	40.41398	-3.70368	Entire home/apt	213	1	64	2022-05-18	1.10	19	329	29	VT-1728
19060650	BRIGHT NEW LOFT in INFANTAS STREET	124396611	Simma	Centro	Justicia	40.42143	-3.69944	Entire home/apt	59	1	36	2018-01-15	0.59	2	0	0	
18957739	PROSPERIDAD	130902460	Grupo Huerta De Los Gayeros	Chamartín	Ciudad Jardín	40.44464	-3.67431	Entire home/apt	57	7	33	2022-05-25	0.54	1	23	10	
19061504	Double room in Chueca, with private bathroom F 05	107335103	Daniel	Centro	Justicia	40.42428	-3.69978	Private room	36	1	166	2021-07-07	2.75	86	0	4	
19061757	Fuencarral street room, private bathroom F 27	107335103	Daniel	Centro	Justicia	40.42408	-3.7001	Private room	36	1	178	2021-07-11	3.03	86	0	5	
19062449	Habitación acogedora en zona tranquila y familiar	132999570	Julia	Moratalaz	Fontarrón	40.40068	-3.64752	Private room	24	2	97	2022-06-06	1.84	1	67	16	
18702360	****Studio Centre-La Latina-Sol-WiFi, A/C****	127569594	Borja	Centro	Embajadores	40.40907	-3.70761	Entire home/apt	92	1	413	2022-06-01	6.72	9	113	102	
18967799	Room by metro+WiFi	132287425	Raul	Puente de Vallecas	Entrevías	40.38441	-3.67032	Private room	21	3	163	2022-05-31	2.69	2	320	4	
18702452	Artistic room in the center	309474285	Irina	Centro	Palacio	40.42125	-3.71303	Private room	28	2	11	2020-02-10	0.18	1	0	0	
19063134	Double room in Chueca, with private bathroom F 08	107335103	Daniel	Centro	Universidad	40.42301	-3.7019	Private room	36	1	196	2021-07-12	3.25	86	0	3	
18968700	Room with Balcony by metro+Wifi	132287425	Raul	Puente de Vallecas	San Diego	40.38491	-3.66862	Private room	26	3	89	2022-06-05	1.48	2	302	10	
19065078	Nuevo y exclusivo centro de madrid argüelles 2 hab	31839003	Myriam	Moncloa - Aravaca	Argüelles	40.43135	-3.71811	Entire home/apt	81	5	5	2019-08-17	0.08	1	5	0	
19155053	Dúplex pleno centro Madrid Metro: Callao/Sol/ópera	41842107	Sofia	Centro	Sol	40.41896	-3.70367	Entire home/apt	78	5	32	2020-03-01	0.53	1	0	0	
18969293	El Prado Historic Center	96019257	Marina	Centro	Cortes	40.41171	-3.69607	Entire home/apt	84	4	25	2022-04-21	0.41	5	25	16	VT-5826
19155752	Stunning City Views Apt❤SanMiguel Market*LUXURY*	2864064	Oscar Vanessa Mica	Centro	Palacio	40.41562	-3.70984	Entire home/apt	289	1	185	2022-05-23	3.07	19	302	38	VT3731
19065350	Nice apartment with two patios	32046323	Ivory	Salamanca	Castellana	40.43644	-3.68302	Entire home/apt	120	30	0			83	340	0	
19067737	A. Habitación Privada Centro de Madrid	133112800	Enyel	Centro	Embajadores	40.41151	-3.70337	Private room	35	2	2	2017-07-03	0.03	1	0	0	
18970842	nice room in gorgeous attic. HabAtico con encanto	32701014	Ramón	Centro	Cortes	40.41229	-3.69873	Private room	14	364	6	2017-09-02	0.10	4	0	0	
18972777	Vecinos de Picasso, apartamento céntrico Madrid	1729503	Ana	Centro	Embajadores	40.41156	-3.70464	Entire home/apt	121	3	55	2022-06-04	0.90	2	151	4	VUT 6736
19069869	Habitación acogedora individual II en Madrid	43424967	Juana	Moncloa - Aravaca	Valdezarza	40.46866	-3.72181	Private room	23	2	26	2022-05-25	0.46	2	279	6	
19156049	Bed and breakfast 1 -2 personas (solo mujeres )	52803269	Marta	Ciudad Lineal	San Juan Bautista	40.44991	-3.66208	Private room	29	2	16	2018-05-17	0.26	1	0	0	
18974886	Best location ever & quiet, tasteful, modern apt	44071767	Diego	Centro	Cortes	40.41192	-3.69451	Entire home/apt	82	2	90	2022-06-03	1.47	1	256	2	
19158037	Habitación exterior con balcón. Metro: Ópera	54571417	Patricia	Centro	Palacio	40.4185	-3.71003	Private room	25	2	1	2017-07-08	0.02	3	0	0	
19077473	Casa Bolero	26433915	Jorge	Arganzuela	Chopera	40.39842	-3.69841	Private room	35	2	22	2020-03-01	0.36	1	0	0	
18980025	Fantástico alojamiento en Diego de león	113673609	Pablo	Salamanca	Guindalera	40.43826	-3.6681	Private room	35	365	1	2018-02-03	0.02	1	365	0	
19078457	Double room with balcony in Atocha	60469442	Gorka	Arganzuela	Palos de Moguer	40.40568	-3.69276	Private room	5000	1	132	2021-05-15	2.17	1	150	0	
19159921	Alquiler estudio en la latina	67924537	Rubén	Centro	Palacio	40.40912	-3.71051	Entire home/apt	36	2	247	2022-05-22	4.13	2	13	62	
19160002	Habitación privada	124457750	Fausto	Chamartín	El Viso	40.44682	-3.67815	Private room	26	1	0			1	0	0	
18982253	Luxury & super new apartment in Av. America	16423549	Virginia	Salamanca	Guindalera	40.43866	-3.67182	Entire home/apt	225	1	2	2017-06-25	0.03	1	0	0	
19078962	PEQUEÑO ESTUDIO EN SOL, MADRID	133216802	Rodolfo	Centro	Sol	40.41976	-3.70093	Entire home/apt	52	2	31	2018-01-22	0.51	1	0	0	
18982814	Habitación doble en Calle Ferraz	104235882	Irene	Moncloa - Aravaca	Argüelles	40.42749	-3.72025	Private room	15	1	0			1	0	0	
19082345	Cosy apartment - Plaza Callao + Gran Via	43272850	Katie	Centro	Universidad	40.42064	-3.70609	Entire home/apt	59	2	0			1	0	0	
19166987	Latina Deluxe	22416437	Hugo Y Silvia	Centro	Embajadores	40.41219	-3.70618	Entire home/apt	103	1	21	2020-01-06	0.41	7	172	0	
18986181	RUSTIC apartment in Puerta del Ángel	15255000	Yomi	Latina	Puerta del Angel	40.41127	-3.73006	Entire home/apt	109	2	56	2022-06-05	0.93	2	136	21	
19085474	Apartamento acogedor y luminoso en Lavapiés	65220850	Valentina	Centro	Embajadores	40.41132	-3.70081	Entire home/apt	39	20	1	2017-08-30	0.02	2	0	0	
18992195	Exclusive apartment with garage in Lagasca XI	32046323	Ivory	Salamanca	Castellana	40.43112	-3685	Entire home/apt	361	30	0			83	297	0	
19089558	Piso acogedor en el retiro	121913781	Ines	Retiro	Ibiza	40.41926	-3.6771	Entire home/apt	150	2	0			1	0	0	
